,nounFrame,Freq,label,비고
1051,논쟁,86,neg,
1052,동시,86,,
1053,보장,86,-,
1054,비유,86,,
1055,상상,86,,
1056,수학,86,,
1057,양자,86,,양자컴퓨터
1058,전송,86,,
1059,진화,86,,
1060,천국,86,,
1061,크리스마스,86,,
1062,급증,85,-,
1063,눈물,85,neg,
1064,다행,85,pos,
1065,대량,85,,
1066,먼지,85,,미세먼지
1067,블룸버그,85,,
1068,신변,85,,
1069,일시,85,,
1070,자유당,85,,
1071,저장,85,,
1072,채권,85,,
1073,채널,85,,
1074,해당,85,,
1075,개시,84,pos,
1076,고급,84,,
1077,널뛰기,84,-,
1078,뉴스룸,84,,
1079,단일,84,,
1080,목숨,84,,
1081,상식,84,,
1082,안내,84,,
1083,올인,84,-,
1084,위로,84,,
1085,저녁,84,,
1086,초창기,84,,
1087,탐욕,84,neg,
1088,화제,84,-,
1089,횡령,84,neg,
1090,가게,83,,
1091,개의,83,,
1092,기득,83,,기득권
1093,랠리,83,pos,
1094,성격,83,,
1095,소수,83,,
1096,이때,83,,
1097,종말,83,neg,
1098,직장,83,,
1099,처리,83,,
1100,건물,82,,
1101,사망,82,,
1102,실러,82,,로버트실러
1103,영업,82,,
1104,유행어,82,,
1105,이지,82,,
1106,적발,82,neg,
1107,전국,82,,
1108,제한,82,neg,
1109,조선일보,82,,
1110,지난해,82,,
1111,바이낸스,81,,
1112,보고서,81,,
1113,사행,81,neg,사행성
1114,상품권,81,,
1115,아우성,81,neg,
1116,연관,81,,
1117,인식,81,,
1118,프랑스,81,,
1119,하드,81,,
1120,홍보,81,,
1121,국부,80,,
1122,기타,80,,
1123,내일,80,,
1124,뉴스타,80,,뉴스타운
1125,무한,80,,
1126,사라,80,,
1127,인사,80,,
1128,장부,80,,
1129,패닉,80,neg,
1130,국세청,79,,
1131,그램,79,,텔레그램
1132,기간,79,,
1133,배후,79,,
1134,비중,79,,
1135,성지,79,,
1136,시나리오,79,,
1137,업무,79,,
1138,일반인,79,,
1139,재무부,79,,
1140,조건,79,,
1141,중간,79,,
1142,지능,79,,
1143,계산,78,,
1144,근접,78,,
1145,대금,78,,
1146,대선,78,,
1147,라이트,78,,
1148,보증,78,,
1149,본격,78,,
1150,불가,78,neg,
1151,생일,78,,
1152,스타트,78,,
1153,신기루,78,neg,
1154,아마존,78,,
1155,여기저기,78,,
1156,운동,78,,
1157,유명,78,,
1158,재테크,78,,
1159,추적,78,,
1160,취급,78,,
1161,탄핵,78,,
1162,투표,78,,
1163,파워,78,,
1164,평균,78,,
1165,폭탄돌리기,78,neg,
1166,핀테,78,,핀테크
1167,관계자,77,,
1168,기부,77,,
1169,내부,77,,
1170,사자,77,,
1171,센터,77,,
1172,신호,77,,
1173,유입,77,,
1174,이동,77,,
1175,주사파,77,,
1176,주시,77,,
1177,최고치,77,pos,
1178,한국당,77,,자유한국당
1179,거래자,76,,
1180,남편,76,,
1181,대박이,76,pos,
1182,범죄자,76,neg,
1183,순식간,76,,
1184,자율,76,,
1185,재무,76,,
1186,중국인,76,,
1187,파티,76,,
1188,효율,76,,
1189,광화문,75,,
1190,그놈,75,,
1191,로저,75,,로저버
1192,신종,75,,
1193,지역,75,,
1194,지하철,75,,
1195,컨퍼런스,75,,
1196,한사람,75,,
1197,해결,75,pos,
1198,확산,75,-,
1199,다우,74,,다우지수
1200,무기,74,,
1201,미투,74,,
1202,믿음,74,pos,
1203,박살,74,neg,
1204,북괴,74,,
1205,속출,74,,
1206,압박,74,neg,
1207,오랜만,74,,
1208,표현,74,,
1209,환상,74,,
1210,감정,73,,
1211,구제,73,,
1212,노예,73,,
1213,마진,73,,
1214,모임,73,,
1215,발리,73,,
1216,버전,73,,
1217,삼성전자,73,,
1218,상관,73,,
1219,선수,73,,
1220,성추행,73,,
1221,시즌,73,,
1222,싸움,73,,
1223,애인,73,,
1224,업데이트,73,,
1225,연락,73,,
1226,우주,73,,
1227,주간,73,,
1228,찬성,73,,
1229,초반,73,,
1230,패닉셀,73,neg,
1231,개새끼,72,,
1232,개혁,72,,
1233,매물,72,,
1234,미친놈,72,,
1235,비율,72,,
1236,생활,72,,
1237,시도,72,,
1238,연방,72,,
1239,주도,72,,
1240,참고,72,,
1241,체제,72,,
1242,피싱,72,neg,보이스피싱
1243,결말,71,,
1244,광맥,71,,
1245,신한은행,71,,
1246,어이,71,,
1247,워렌,71,,
1248,전화,71,,
1249,정식,71,,
1250,종이,71,,
1251,큰일,71,neg,
1252,티비,71,,
1253,포기,71,neg,
1254,하이,71,,
1255,강세,70,pos,초강세
1256,경신,70,pos,
1257,기대감,70,pos,
1258,너희,70,,
1259,리플코인,70,,
1260,소스,70,,
1261,양반,70,,
1262,용도,70,,
1263,저희,70,,
1264,접근,70,,
1265,주인,70,,
1266,지금쯤,70,,
1267,통신,70,,
1268,확신,70,,
1269,후원,70,,
1270,고양이,69,,
1271,국정,69,,
1272,기계,69,,
1273,기승,69,,
1274,나무,69,,
1275,노트북,69,,
1276,담당,69,,
1277,데뷔,69,,
1278,배아,69,,
1279,벤처,69,,
1280,부처,69,,
1281,분만,69,,
1282,수상자,69,,
1283,연일,69,,
1284,위치,69,,
1285,캠프,69,,
1286,클라우드,69,,
1287,하태경,69,,
1288,형제,69,,
1289,강원랜드,68,neg,
1290,다인,68,,
1291,동기,68,,
1292,민주,68,,
1293,블랙,68,,
1294,양심,68,,
1295,여파,68,,
1296,이분,68,,
1297,일제,68,,
1298,지지하,68,,
1299,테러,68,,
1300,하늘,68,,
1301,경기,67,,
1302,공짜,67,,
1303,교훈,67,,
1304,군대,67,,
1305,끝물,67,neg,
1306,난이도,67,,
1307,남성,67,,
1308,노력,67,,
1309,로봇,67,,
1310,비자금,67,,
1311,사둔,67,,
1312,생태계,67,,
1313,선배,67,,
1314,수직,67,,
1315,언론사,67,,
1316,영역,67,,
1317,예언,67,,
1318,월부,67,,월부터
1319,유저,67,,
1320,큰돈,67,,
1321,해석,67,,
1322,현대,67,,
1323,게이트,66,,
1324,리니지,66,,
1325,보스,66,,
1326,생명,66,,
1327,슈퍼,66,,
1328,실현,66,,
1329,심정,66,,
1330,여성,66,,
1331,원장,66,,
1332,의사,66,,
1333,일거,66,,
1334,일당,66,,
1335,주체,66,,
1336,직장인,66,,
1337,코인네스트,66,,
1338,과학자,65,,
1339,구속,65,,
1340,꼬라지,65,,
1341,돼지,65,,
1342,마비,65,neg,마비노기
1343,본전,65,-,
1344,상담,65,,
1345,상승장,65,pos,
1346,수업,65,,
1347,육성,65,,
1348,이외,65,,
1349,총선,65,,
1350,폭망,65,neg,
1351,행복,65,,
1352,가요,64,,
1353,강도,64,,
1354,거대,64,,
1355,고통,64,,
1356,단점,64,neg,
1357,담보,64,,
1358,문화,64,,
1359,뱅크,64,,
1360,부대,64,,
1361,불나방,64,,
1362,소프트,64,,이스트소프트
